"","filename","train_acc","val_acc","train_auc","val_auc","train_los","val_los","val_mmc","tn","fp","fn","tp","time","ep_stopped","index_fold","seed","date_time","dataset","representation","color_img","model","bin","taxa","estop","padding","type_evaluate","whole","resolution","autofit_data","scale_mode","bin_scale","del0","rep_bin","rep_bin_model"
"228","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.9,1,0.75,0.133,0.51,0.802,6,0,1,3,735.034,46,2,8,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"229","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.98,0.7,1,0.667,0.272,0.641,0.356,5,1,2,2,758.652,24,2,9,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"230","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.8,1,0.75,0.111,0.583,0.612,6,0,2,2,784.974,53,3,0,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"231","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.897,0.667,0.993,0.714,0.348,0.639,0.293,6,1,3,2,802.327,19,3,1,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"232","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.917,1,0.943,0.013,0.353,0.837,7,0,1,4,832.754,102,3,2,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"233","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.907,0.583,0.989,0.6,0.382,0.688,0.12,5,2,3,2,856.609,17,3,3,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"234","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.867,0.545,0.964,0.5,0.445,0.699,0.043,5,1,4,1,879.021,13,3,4,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"235","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",1,0.909,1,0.867,0.03,0.511,0.833,5,1,0,5,909.461,77,3,5,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"236","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.786,0.364,0.955,0.467,0.518,0.697,-0.311,3,3,4,1,926.305,11,3,6,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
"237","/home/ubuntu/sncs2020/results/feng_fillspix_r0p1.0spbm0.0a1.0gray_nb10_aun_0.0_1.0/a5_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200323_210337c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padyfile_sum_ok.txt",0.929,0.6,0.997,0.792,0.338,0.62,0,6,0,4,0,948.748,26,3,7,"20200323_210337","Feng","fill_phy","gray","cnn_l1f64","SPB",NA,"estop5","yes","internal","no","autofit","scale_range_0_1",NA,"SPB_NA","no","SPB_NA_scale_range_0_1","fill_phy_SPB_NA_cnn_l1f64"
